		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   22   24   33   22   22   22   28   26  4.774384 0.781396 SUCCESS   0
000000011   26   30   28   31   13   22   28   34 14.037468 0.080794 SUCCESS   1
000000101   29   28   27   17   24   22   30   22  5.875919 0.661129 SUCCESS   2
000000111   23   32   18   24   22   22   31   26  6.714647 0.567710 SUCCESS   3
000001001   22   18   29   28   29   21   37   27 11.825793 0.159147 SUCCESS   4
000001011   25   28   30   17   25   26   26   26  4.554607 0.803945 SUCCESS   5
000001101   24   25   32   27   25   24   30   20  4.927964 0.765247 SUCCESS   6
000001111   20   31   24   23   23   16   23   25  5.924905 0.655643 SUCCESS   7
000010001   28   21   26   29   24   22   27   33  5.716382 0.678967 SUCCESS   8
000010011   22   28   25   25   23   29   39   24 10.843415 0.210730 SUCCESS   9
000010101   26   21   20   20   23   22   30   27  4.179927 0.840536 SUCCESS  10
000010111   19   26   20   19   29   29   15   33 12.068740 0.148163 SUCCESS  11
000011001   33   23   14   26   22   21   16   24 11.635143 0.168240 SUCCESS  12
000011011   27   20   34   25   21   23   31   22  7.689744 0.464348 SUCCESS  13
000011101   24   25   24   29   27   28   26   26  1.979506 0.981634 SUCCESS  14
000011111   26   34   27   19   24   15   28   23  9.917306 0.270878 SUCCESS  15
000100011   29   26   24   22   23   22   31   36  9.131536 0.331322 SUCCESS  16
000100101   24   18   38   21   26   31   26   35 16.893911 0.031233 SUCCESS  17
